checked_at,pos_id,state_file,user_id,coin,domestic,foreign,entry_krw,domestic_entry_krw,foreign_entry_krw,domestic_qty,domestic_locked,domestic_bid,domestic_value_krw,foreign_amount,foreign_notional_usdt,foreign_value_krw,foreign_side,classification,error
2026-05-30 00:25:38,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,962.42150199,0.0,47.86,46061.4931,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:25:43,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,48.05,7281.8818,146.37,4.81,7258.29,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:25:46,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:25:49,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,147.0,381.6346,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:25:53,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,47.87,9064.3837,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:25:56,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,962.42150199,0.0,47.87,46071.1173,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:25:59,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,962.42150199,0.0,47.87,46071.1173,7.0,23.142,34921.278,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:26:04,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,47.87,9064.3837,182.0,6.00964,9068.5468,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:26:06,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,84.90566037,0.0,105.0,8915.0943,82.0,5.93024,8948.7322,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:32:43,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,962.42150199,0.0,48.08,46273.2258,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:32:46,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,48.63,7369.7796,146.37,4.86,7333.74,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:32:49,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:32:52,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,148.0,384.2308,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:32:55,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,48.08,9104.148,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
